Song Name,Artist,Month,Rank,Reason
Deeper Love,Botnek,2016-06-01,3.0,Song not found for artist
See It All,Rich Edwards,2016-06-01,5.0,Song not found for artist
Dream Catcher,Rameses B,2016-06-01,11.0,Song not found for artist
The Saint,Conro,2016-06-01,12.0,Song not found for artist
Where I'll be Waiting,Rich Edwards,2016-06-01,15.0,Song not found for artist
Dreams,Rogue,2016-06-01,16.0,Song not found for artist
Deeper Love,Botnek,2016-07-01,9.0,Song not found for artist
See It All,Rich Edwards,2016-07-01,6.0,Song not found for artist
Hands of Time,Hellberg,2016-07-01,4.0,Song not found for artist
Collide,Hellberg,2016-07-01,5.0,Song not found for artist
Titans,Razihel,2016-07-01,14.0,Song not found for artist
Hands of Time,Hellberg,2016-08-01,2.0,Song not found for artist
Collide,Hellberg,2016-08-01,4.0,Song not found for artist
Heist,Noisestorm,2016-08-01,8.0,Song not found for artist
Sugar Rush,PIXL,2016-08-01,10.0,Song not found for artist
Heist,Noisestorm,2016-09-01,6.0,Song not found for artist
The Munsta - AlphavibeZ Remix,SCNDL,2016-09-01,11.0,Artist not found
Safe & Sound,Nitro Fun,2016-09-01,16.0,Song not found for artist
I Wanna Know,Conro,2016-10-01,4.0,Song not found for artist
Orbit,WRLD,2016-10-01,6.0,Song not found for artist
I Wanna Know,Conro,2016-11-01,11.0,Song not found for artist
Orbit,WRLD,2016-11-01,12.0,Song not found for artist
Make a Move,Direct,2016-11-01,9.0,Song not found for artist
Orbit,WRLD,2016-12-01,9.0,Song not found for artist
Ashes,Hellberg,2016-12-01,13.0,Song not found for artist
Deeper Love - Snavs Remix,Botnek,2017-01-01,15.0,Song not found for artist
Pink Cloud,Pegboard Nerds,2017-04-01,6.0,Song not found for artist
Saiko,Aero Chord,2017-05-01,16.0,Artist not found
Pinup,Televisor,2017-06-01,8.0,Song not found for artist
To The Sun,Hot Date!,2017-06-01,15.0,Artist not found
Once Again,Tristam,2017-07-01,14.0,Song not found for artist
Close,Conro,2017-08-01,15.0,Song not found for artist
Close,Conro,2017-09-01,10.0,Song not found for artist
Just Dance,Pegboard Nerds,2018-01-01,5.0,Song not found for artist
Close,Conro,2018-02-01,8.0,Song not found for artist
Take Me Away,Duumu,2018-02-01,2.0,Song not found for artist
On My Own,Lookas,2018-02-01,3.0,Song not found for artist
Close,Conro,2018-03-01,7.0,Song not found for artist
On My Own,Lookas,2018-03-01,5.0,Song not found for artist
Close,Conro,2018-04-01,16.0,Song not found for artist
Silhouette,Bad Computer,2018-05-01,7.0,Song not found for artist
Silhouette,Bad Computer,2018-07-01,15.0,Song not found for artist
Comeback,Bossfight,2018-08-01,6.0,Song not found for artist
Kneel Before Me,SLANDER,2018-08-01,16.0,Song not found for artist
Reborn,KIDS SEE GHOSTS,2018-09-01,12.0,Artist not found
Kneel Before Me,SLANDER,2018-10-01,13.0,Song not found for artist
Tonight I'm Getting Over You,Carly Rae Jepsen,2018-10-01,16.0,Song not found for artist
Kneel Before Me,SLANDER,2018-11-01,5.0,Song not found for artist
You're The One That I Want,Charlotte Lawrence,2019-03-01,8.0,Song not found for artist
Burning,Aero Chord,2019-09-01,14.0,Artist not found
One Two Things,Louis Futon,2019-12-01,10.0,Song not found for artist
Said Goodbye to Your Mother,Vera Blue,2019-12-01,12.0,Song not found for artist
